,ord,file_loc,character,num_of_obj,sum_of_stroke,vertices,disconnected_strokes,perimetric_complexity
78,85,5_Korean_26.BMP,빤,4,12,10.0,0.0,
79,90,5_Korean_27.BMP,짭,3,12,9.0,0.0,
80,19,5_Korean_28.BMP,뜁,5,13,9.0,0.0,
81,13,5_Korean_29.BMP,뗶,6,14,8.0,0.0,
82,21,5_Korean_3.BMP,혀,3,6,2.0,0.0,
83,100,5_Korean_30.BMP,뇊,3,11,8.0,0.0,
84,93,5_Korean_31.BMP,꼕,5,13,7.0,0.0,
85,84,5_Korean_32.BMP,궪,5,12,4.0,0.0,
86,91,5_Korean_33.BMP,빠,3,10,9.0,0.0,
87,103,5_Korean_34.BMP,팎,5,10,7.0,0.0,
88,110,5_Korean_35.BMP,뵿,3,10,6.0,0.0,
89,119,5_Korean_36.BMP,훥,6,12,5.0,0.0,
90,112,5_Korean_37.BMP,쬡,4,13,9.0,0.0,
91,5,5_Korean_38.BMP,뻗,3,13,11.0,0.0,
92,11,5_Korean_39.BMP,짡,4,13,8.0,0.0,
93,8,5_Korean_4.BMP,텨,2,7,5.0,0.0,
94,73,5_Korean_40.BMP,짢,5,13,6.0,0.0,
95,82,5_Korean_41.BMP,뗁,6,14,8.0,0.0,
96,71,5_Korean_42.BMP,똏,6,13,6.0,0.0,
97,62,5_Korean_43.BMP,쾒,5,14,6.0,0.0,
98,51,5_Korean_44.BMP,空,5,13,100.0,0.0,
99,44,5_Korean_45.BMP,空,5,14,10.0,1.0,
100,53,5_Korean_46.BMP,뚫,6,16,9.0,0.0,
101,61,5_Korean_47.BMP,뺳,5,14,10.0,0.0,
102,42,5_Korean_48.BMP,뷉,5,13,10.0,0.0,
103,36,5_Korean_49.BMP,空,5,15,12.0,1.0,
104,7,5_Korean_5.BMP,북,2,8,6.0,0.0,
105,52,5_Korean_50.BMP,봲,4,14,8.0,0.0,
106,43,5_Korean_51.BMP,뻲,6,16,10.0,0.0,
107,54,5_Korean_52.BMP,空,6,16,12.0,2.0,
108,60,5_Korean_53.BMP,뺲,4,15,14.0,0.0,
109,72,5_Korean_54.BMP,空,6,16,10.0,2.0,
110,83,5_Korean_55.BMP,空,5,17,12.0,1.0,
111,70,5_Korean_56.BMP,空,7,14,8.0,2.0,
112,63,5_Korean_57.BMP,뻎,4,16,16.0,0.0,
113,24,5_Korean_58.BMP,空,6,15,11.0,1.0,
114,29,5_Korean_59.BMP,뺂,6,16,11.0,0.0,
115,1,5_Korean_6.BMP,돼,2,8,5.0,0.0,
116,41,5_Korean_60.BMP,空,7,16,10.0,2.0,
117,2,5_Korean_7.BMP,파,3,6,5.0,0.0,
118,107,5_Korean_8.BMP,뭐,3,8,6.0,0.0,
119,106,5_Korean_9.BMP,화,3,7,2.0,0.0,
