content,obj_num,disconnected_stroke,stroke_sum,junc_sum,file_loc,PC
짖,3,0,8,5,KSL47.png,18.83067581
空,6,2,12,6,KSL48.png,28.94595005
둘,2,0,10,8,KSL49.png,28.63527138
란,2,0,11,9,KSL5.png,16.14910123
천,4,1,10,6,KSL50.png,15.77593395
날,2,0,11,9,KSL51.png,20.56031617
空,3,1,11,9,KSL52.png,29.32443985
빵,4,0,17,15,KSL53.png,17.36083328
불,2,0,13,12,KSL54.png,27.77064807
탑,2,0,13,12,KSL55.png,19.68882442
空,2,0,12,9,KSL56.png,22.38334552
펜,5,2,13,8,KSL57.png,16.38640886
훌,3,1,11,8,KSL58.png,32.0374873
줍,3,0,11,9,KSL59.png,20.81718032
복,2,0,10,9,KSL6.png,17.14548632
첫,4,1,10,6,KSL60.png,16.83422175
빗,3,0,11,9,KSL7.png,14.69754952
쾌,2,0,11,9,KSL8.png,18.85903524
절,3,0,11,8,KSL9.png,23.90212945
