,Unnamed: 0,ord,file_loc,character,num_of_obj,sum_of_stroke,vertices,disconnected_strokes,perimetric_complexity
0,0,1,KSH1.png,희,2,5,0.0,1.0,14.4232694129952
1,1,6,KSH2.png,대,0,6,4.0,0.0,18.0017877060975
2,2,12,KSH3.png,있,4,7,3.0,1.0,14.8000970551582
3,3,21,KSH4.png,웨,4,6,2.0,1.0,15.0566152707054
4,4,26,KSH5.png,튀,1,7,4.0,0.0,18.1319294508604
5,5,18,KSH6.png,훈,4,7,2.0,1.0,20.1905394873146
6,6,14,KSH7.png,체,4,7,3.0,1.0,14.5523971108099
7,7,66,CSH1.png,外,2,5,3.0,1.0,8.66802648702243
8,8,81,CSH2.png,北,2,5,5.0,0.0,12.6282034962446
9,9,76,CSH3.png,地,1,6,8.0,0.0,15.3711295431951
10,10,51,CSH4.png,机,1,6,6.0,0.0,15.9438061616519
11,11,50,CSH5.png,场,1,6,8.0,0.0,19.5291875586702
12,12,171,KSH8.png,볶,2,10,7.0,0.0,12.6476638989101
13,13,35,CSH6.png,权,2,6,3.0,1.0,10.7365925288877
14,14,182,KSH9.png,획,2,8,2.0,1.0,13.3118465462221
15,15,36,CSH7.png,级,2,9,8.0,1.0,16.4513044345921
16,16,138,CSH8.png,我,1,7,7.0,1.0,13.6996246286118
17,17,133,CSH9.png,近,3,11,6.0,1.0,11.6952196757466
18,18,67,KSH10.png,썩,2,8,4.0,0.0,15.6885635749627
19,19,41,CSH10.png,近,3,11,6.0,1.0,11.6952196757466
20,20,63,KSH11.png,열,3,9,6.0,0.0,21.4239202441434
21,21,75,KSH12.png,화,1,7,2.0,1.0,15.2139165354706
22,22,82,KSH13.png,찻,4,8,4.0,1.0,16.7110300009636
23,23,30,CSH11.png,两,0,7,9.0,0.0,21.1857764879149
24,24,45,CSH12.png,利,3,7,3.0,2.0,11.254365206231
25,25,47,KSH14.png,율,2,9,6.0,0.0,25.8840304196135
26,26,54,KSH15.png,꽃,5,10,5.0,1.0,23.4564056974926
27,27,39,KSH16.png,롭,1,11,9.0,0.0,23.8482039957008
28,28,32,KSH17.png,空,2,10,100.0,0.0,17.3904400249075
29,29,130,KSH18.png,탈,1,11,8.0,0.0,23.5811623592315
30,30,56,CSH13.png,你,5,7,4.0,2.0,9.34382071581593
31,31,74,CSH14.png,别,2,7,9.0,1.0,13.5941872361978
32,32,141,KSH19.png,空,4,11,8.0,1.0,25.7621348785584
33,33,83,CSH15.png,受,6,6,4.0,4.0,18.0367911402187
34,34,69,CSH16.png,质,3,8,5.0,2.0,13.9414272203975
35,35,61,CSH17.png,所,1,8,8.0,0.0,16.7128729897614
36,36,91,CSH18.png,些,4,7,6.0,2.0,13.4021862369349
37,37,100,CSH19.png,物,1,8,8.0,0.0,22.0482197760632
38,38,164,CSH20.png,明,2,8,10.0,0.0,16.244707196749
