ind,content,num_of_obj,sum_of_obj,sum_of_stroke,sum_of_junc,file_loc,PC,inkArea,perimeter
51,TAG,3,"[3, 4, 3]",10,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (51).BMP,8.18045884555443,11623,1093.08235294118
52,GELD,4,"[3, 3, 3, 5]",14,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (52).BMP,12.667892977345,18128.1803921569,1698.76862745098
53,PFERD,5,"[4, 6, 3, 5, 5]",23,19,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (53).BMP,14.771700712209,21480.2901960784,1996.82614379085
54,BEIN,4,"[5, 3, 3, 2]",13,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (54).BMP,14.1746499577751,17622.6274509804,1771.72549019608
55,MILCH,5,"[2, 3, 3, 2, 3]",13,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (55).BMP,15.1140285923802,18546.2784313725,1876.82352941177
56,SPIEL,5,"[3, 4, 3, 3, 3]",16,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (56).BMP,15.0903476676076,21159.6431372549,2003.12810457516
57,MANN,4,"[2, 4, 2, 2]",10,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (57).BMP,14.9475372112728,20292.7921568627,1952.36339869281
58,SPIEL,5,"[3, 4, 3, 3, 3]",16,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (58).BMP,15.0903476676076,21159.6431372549,2003.12810457516
59,TAG,3,"[3, 4, 3]",10,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (59).BMP,8.18045884555443,11623,1093.08235294118
60,WORT,4,"[3, 3, 5, 3]",14,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (60).BMP,11.4241071267737,15388.8588235294,1486.34379084967
61,MANN,4,"[2, 4, 2, 2]",10,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (61).BMP,14.9475372112728,20292.7921568627,1952.36339869281
62,GELD,4,"[3, 3, 3, 5]",14,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (62).BMP,12.667892977345,18128.1803921569,1698.76862745098
