,obj_num,disconnected_stroke,stroke_sum,junc_sum,PC
104,1.0,0.0,0.47058823529411764,0.5625,1.0
105,0.0,0.0,0.058823529411764705,0.1875,0.5339918007765199
106,0.0,0.3333333333333333,0.058823529411764705,0.125,0.5834132685251121
107,0.5,0.3333333333333333,0.23529411764705882,0.25,0.8556660631871774
108,0.5,0.3333333333333333,0.17647058823529413,0.375,0.7284785517497275
109,1.0,1.0,0.23529411764705882,0.3125,0.9223144966279745
110,0.5,0.0,0.4117647058823529,0.4375,0.9879565634367846
111,0.5,0.3333333333333333,0.29411764705882354,0.4375,0.7457577032420334
112,0.0,0.0,0.11764705882352941,0.3125,0.5930333898398936
113,0.5,0.3333333333333333,0.17647058823529413,0.3125,0.7232075052718635
114,1.0,1.0,0.23529411764705882,0.3125,0.9223144966279745
115,0.5,0.3333333333333333,0.23529411764705882,0.25,0.8556660631871774
116,1.0,1.0,0.17647058823529413,0.3125,0.8271091692317084
117,0.5,0.0,0.4117647058823529,0.4375,0.9879565634367846
118,0.0,0.3333333333333333,0.0,0.0,0.4748080449044506
119,0.5,0.3333333333333333,0.29411764705882354,0.4375,0.7457577032420334
120,0.0,0.0,0.058823529411764705,0.1875,0.5339918007765199
121,0.5,0.6666666666666666,0.058823529411764705,0.125,0.7662764622329032
122,0.0,0.3333333333333333,0.058823529411764705,0.125,0.5834132685251121
123,1.0,0.0,0.47058823529411764,0.5625,1.0
124,0.5,0.3333333333333333,0.29411764705882354,0.5,0.7430395285435584
125,0.5,0.3333333333333333,0.17647058823529413,0.375,0.7284785517497275
126,0.0,0.0,0.11764705882352941,0.3125,0.5930333898398936
127,0.5,0.3333333333333333,0.17647058823529413,0.3125,0.7232075052718635
128,0.5,0.3333333333333333,0.29411764705882354,0.5,0.7430395285435584
129,0.0,0.3333333333333333,0.058823529411764705,0.125,0.5834132685251121
130,1.0,0.0,0.47058823529411764,0.5625,1.0
131,0.0,0.0,0.11764705882352941,0.3125,0.5930333898398936
132,1.0,1.0,0.17647058823529413,0.3125,0.8271091692317084
133,1.0,1.0,0.23529411764705882,0.3125,0.9223144966279745
134,0.5,0.0,0.4117647058823529,0.4375,0.9879565634367846
135,0.5,0.3333333333333333,0.23529411764705882,0.25,0.8556660631871774
136,0.5,0.3333333333333333,0.29411764705882354,0.4375,0.7457577032420334
137,0.0,0.0,0.058823529411764705,0.1875,0.5339918007765199
138,0.0,0.3333333333333333,0.0,0.0,0.4748080449044506
139,0.5,0.6666666666666666,0.058823529411764705,0.125,0.7662764622329032
140,0.5,0.3333333333333333,0.17647058823529413,0.375,0.7284785517497275
141,0.5,0.3333333333333333,0.17647058823529413,0.3125,0.7232075052718635
142,0.5,0.3333333333333333,0.17647058823529413,0.375,0.7284785517497275
143,0.0,0.3333333333333333,0.058823529411764705,0.125,0.5834132685251121
144,1.0,1.0,0.23529411764705882,0.3125,0.9223144966279745
145,0.5,0.0,0.4117647058823529,0.4375,0.9879565634367846
146,1.0,1.0,0.17647058823529413,0.3125,0.8271091692317084
147,0.0,0.0,0.11764705882352941,0.3125,0.5930333898398936
148,0.5,0.3333333333333333,0.29411764705882354,0.5,0.7430395285435584
149,0.5,0.6666666666666666,0.058823529411764705,0.125,0.7662764622329032
150,1.0,0.0,0.47058823529411764,0.5625,1.0
151,0.5,0.3333333333333333,0.23529411764705882,0.25,0.8556660631871774
152,0.0,0.0,0.058823529411764705,0.1875,0.5339918007765199
153,0.5,0.3333333333333333,0.29411764705882354,0.4375,0.7457577032420334
154,0.0,0.3333333333333333,0.0,0.0,0.4748080449044506
155,0.5,0.3333333333333333,0.23529411764705882,0.25,0.8556660631871774
156,1.0,1.0,0.23529411764705882,0.3125,0.9223144966279745
157,0.0,0.0,0.11764705882352941,0.3125,0.5930333898398936
158,0.5,0.3333333333333333,0.17647058823529413,0.3125,0.7232075052718635
159,0.5,0.6666666666666666,0.058823529411764705,0.125,0.7662764622329032
160,0.5,0.3333333333333333,0.29411764705882354,0.5,0.7430395285435584
161,1.0,0.0,0.47058823529411764,0.5625,1.0
162,0.0,0.3333333333333333,0.0,0.0,0.4748080449044506
163,0.5,0.0,0.4117647058823529,0.4375,0.9879565634367846
164,0.5,0.3333333333333333,0.17647058823529413,0.375,0.7284785517497275
165,1.0,1.0,0.17647058823529413,0.3125,0.8271091692317084
166,0.5,0.3333333333333333,0.29411764705882354,0.4375,0.7457577032420334
167,0.0,0.0,0.058823529411764705,0.1875,0.5339918007765199
