,Unnamed: 0,0,1,2,3
96,Data/5_Wang_2017/5_Chinese_40.BMP,话,13,number of obj: 3,number of contain: 0
97,Data/5_Wang_2017/5_Chinese_41.BMP,法,9,number of obj: 3,number of contain: 0
98,Data/5_Wang_2017/5_Chinese_55.BMP,戏,6,number of obj: 1,number of contain: 1
99,Data/5_Wang_2017/5_Korean_18.BMP,웝,9,number of obj: 4,number of contain: 0
100,Data/5_Wang_2017/5_Korean_30.BMP,뇊,11,number of obj: 3,number of contain: 0
101,Data/5_Wang_2017/5_Korean_24.BMP,뇉,11,number of obj: 3,number of contain: 0
102,Data/5_Wang_2017/5_Korean_20.BMP,쾌,9,number of obj: 3,number of contain: 0
103,Data/5_Wang_2017/5_Korean_34.BMP,팎,10,number of obj: 5,number of contain: 0
104,Data/5_Wang_2017/5_Chinese_51.BMP,报,8,number of obj: 2,number of contain: 0
105,Data/5_Wang_2017/5_Chinese_45.BMP,姐,8,number of obj: 2,number of contain: 0
106,Data/5_Wang_2017/5_Korean_9.BMP,화,7,number of obj: 3,number of contain: 0
107,Data/5_Wang_2017/5_Korean_8.BMP,뭐,8,number of obj: 3,number of contain: 0
108,Data/5_Wang_2017/5_Chinese_44.BMP,油,9,number of obj: 3,number of contain: 0
109,Data/5_Wang_2017/5_Chinese_50.BMP,村,7,number of obj: 3,number of contain: 0
110,Data/5_Wang_2017/5_Korean_35.BMP,뵿,10,number of obj: 3,number of contain: 0
111,Data/5_Wang_2017/5_Korean_21.BMP,편,9,number of obj: 4,number of contain: 0
112,Data/5_Wang_2017/5_Korean_37.BMP,쬡,13,number of obj: 4,number of contain: 0
113,Data/5_Wang_2017/5_Korean_23.BMP,뇋,10,number of obj: 4,number of contain: 0
114,Data/5_Wang_2017/5_Chinese_46.BMP,林,8,number of obj: 2,number of contain: 0
115,Data/5_Wang_2017/5_Chinese_52.BMP,饭,13,number of obj: 3,number of contain: 0
116,Data/5_Wang_2017/5_Chinese_53.BMP,纸,10,number of obj: 3,number of contain: 0
117,Data/5_Wang_2017/5_Chinese_47.BMP,姓,8,number of obj: 2,number of contain: 0
118,Data/5_Wang_2017/5_Korean_22.BMP,댾,12,number of obj: 5,number of contain: 0
119,Data/5_Wang_2017/5_Korean_36.BMP,훥,12,number of obj: 6,number of contain: 0
